Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-03
Vertical Offset,-7.500000E-04
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808352
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.3071000000E+00,-8.395833E-04
-2.3066000000E+00,-7.875000E-04
-2.3061000000E+00,-7.916667E-04
-2.3056000000E+00,-9.708334E-04
-2.3051000000E+00,-1.164583E-03
-2.3046000000E+00,-8.062500E-04
-2.3041000000E+00,-9.541667E-04
-2.3036000000E+00,-7.541667E-04
-2.3031000000E+00,-1.000000E-03
-2.3026000000E+00,-1.152083E-03
-2.3021000000E+00,-1.279167E-03
-2.3016000000E+00,-1.212500E-03
-2.3011000000E+00,-8.458333E-04
-2.3006000000E+00,-1.087500E-03
-2.3001000000E+00,-6.875000E-04
-2.2996000000E+00,-1.439583E-03
-2.2991000000E+00,-1.308333E-03
-2.2986000000E+00,-1.018750E-03
-2.2981000000E+00,-7.479167E-04
-2.2976000000E+00,-1.133333E-03
-2.2971000000E+00,-1.225000E-03
-2.2966000000E+00,-1.406250E-03
-2.2961000000E+00,-1.152083E-03
-2.2956000000E+00,-1.120833E-03
-2.2951000000E+00,-8.958334E-04
-2.2946000000E+00,-9.895833E-04
-2.2941000000E+00,-1.018750E-03
-2.2936000000E+00,-1.418750E-03
-2.2931000000E+00,-1.087500E-03
-2.2926000000E+00,-9.770833E-04
-2.2921000000E+00,-7.833333E-04
-2.2916000000E+00,-9.125000E-04
-2.2911000000E+00,-1.222917E-03
-2.2906000000E+00,-1.137500E-03
-2.2901000000E+00,-8.125000E-04
-2.2896000000E+00,-5.770833E-04
-2.2891000000E+00,-6.812500E-04
-2.2886000000E+00,-8.291667E-04
-2.2881000000E+00,-1.077083E-03
-2.2876000000E+00,-8.979167E-04
-2.2871000000E+00,-8.229167E-04
-2.2866000000E+00,-6.395833E-04
-2.2861000000E+00,-7.395833E-04
-2.2856000000E+00,-8.666667E-04
-2.2851000000E+00,-9.062500E-04
-2.2846000000E+00,-7.166667E-04
-2.2841000000E+00,-4.979167E-04
-2.2836000000E+00,-5.708333E-04
-2.2831000000E+00,-3.479167E-04
-2.2826000000E+00,-7.645834E-04
-2.2821000000E+00,-6.062500E-04
-2.2816000000E+00,-5.187500E-04
-2.2811000000E+00,-1.979167E-04
-2.2806000000E+00,-3.270833E-04
-2.2801000000E+00,-5.854167E-04
-2.2796000000E+00,-5.312500E-04
-2.2791000000E+00,-1.583333E-04
-2.2786000000E+00,-1.125000E-04
-2.2781000000E+00,-1.395833E-04
-2.2776000000E+00,+5.416667E-05
-2.2771000000E+00,-2.166667E-04
-2.2766000000E+00,-6.875000E-05
-2.2761000000E+00,-5.416667E-05
-2.2756000000E+00,+1.229167E-04
-2.2751000000E+00,+3.458333E-04
-2.2746000000E+00,-8.750000E-05
-2.2741000000E+00,+5.208333E-05
-2.2736000000E+00,+1.750000E-04
-2.2731000000E+00,+6.354167E-04
-2.2726000000E+00,+2.395833E-04
-2.2721000000E+00,+5.854167E-04
-2.2716000000E+00,+4.166667E-04
-2.2711000000E+00,+4.666667E-04
-2.2706000000E+00,+2.833333E-04
-2.2701000000E+00,+5.666667E-04
-2.2696000000E+00,+6.583334E-04
-2.2691000000E+00,+5.395833E-04
-2.2686000000E+00,+4.708333E-04
-2.2681000000E+00,+6.437500E-04
-2.2676000000E+00,+4.625000E-04
-2.2671000000E+00,+5.854167E-04
-2.2666000000E+00,+7.666667E-04
-2.2661000000E+00,+6.229167E-04
-2.2656000000E+00,+5.958333E-04
-2.2651000000E+00,+5.583334E-04
-2.2646000000E+00,+7.083333E-04
-2.2641000000E+00,+8.041667E-04
-2.2636000000E+00,+8.541667E-04
-2.2631000000E+00,+7.333333E-04
-2.2626000000E+00,+6.500000E-04
-2.2621000000E+00,+5.437500E-04
-2.2616000000E+00,+1.127083E-03
-2.2611000000E+00,+9.729167E-04
-2.2606000000E+00,+5.791667E-04
-2.2601000000E+00,+5.687500E-04
-2.2596000000E+00,+8.270834E-04
-2.2591000000E+00,+8.083333E-04
-2.2586000000E+00,+9.375000E-04
-2.2581000000E+00,+7.562500E-04
-2.2576000000E+00,+9.041667E-04
-2.2571000000E+00,+5.520834E-04
-2.2566000000E+00,+6.416666E-04
-2.2561000000E+00,+9.687500E-04
-2.2556000000E+00,+9.937501E-04
-2.2551000000E+00,+1.266667E-03
-2.2546000000E+00,+7.541667E-04
-2.2541000000E+00,+2.666667E-04
-2.2536000000E+00,+6.104167E-04
-2.2531000000E+00,+9.812500E-04
-2.2526000000E+00,+7.479167E-04
-2.2521000000E+00,+9.083333E-04
-2.2516000000E+00,+8.791666E-04
-2.2511000000E+00,+9.333334E-04
-2.2506000000E+00,+1.068750E-03
-2.2501000000E+00,+8.854167E-04
-2.2496000000E+00,+6.229167E-04
-2.2491000000E+00,+8.437500E-04
-2.2486000000E+00,+6.020833E-04
-2.2481000000E+00,+5.854167E-04
-2.2476000000E+00,+7.770833E-04
-2.2471000000E+00,+7.645834E-04
-2.2466000000E+00,+7.625000E-04
-2.2461000000E+00,+6.062500E-04
-2.2456000000E+00,+6.395833E-04
-2.2451000000E+00,+3.854167E-04
-2.2446000000E+00,+6.729166E-04
-2.2441000000E+00,+7.437500E-04
-2.2436000000E+00,+5.666667E-04
-2.2431000000E+00,+1.833333E-04
-2.2426000000E+00,+2.479167E-04
-2.2421000000E+00,+4.979167E-04
-2.2416000000E+00,+8.520833E-04
-2.2411000000E+00,+4.020833E-04
-2.2406000000E+00,+1.687500E-04
-2.2401000000E+00,+1.458333E-05
-2.2396000000E+00,+2.583333E-04
-2.2391000000E+00,+1.583333E-04
-2.2386000000E+00,+1.750000E-04
-2.2381000000E+00,+9.166667E-05
-2.2376000000E+00,+4.375000E-05
-2.2371000000E+00,-1.895833E-04
-2.2366000000E+00,-5.041667E-04
-2.2361000000E+00,-1.979167E-04
-2.2356000000E+00,-1.041667E-05
-2.2351000000E+00,-1.166667E-04
-2.2346000000E+00,-3.770833E-04
-2.2341000000E+00,-3.666667E-04
-2.2336000000E+00,-1.020833E-04
-2.2331000000E+00,-7.083334E-05
-2.2326000000E+00,+1.416667E-04
-2.2321000000E+00,-6.041666E-04
-2.2316000000E+00,-8.541667E-04
-2.2311000000E+00,-4.416667E-04
-2.2306000000E+00,-2.083333E-04
-2.2301000000E+00,-4.104167E-04
-2.2296000000E+00,-4.854167E-04
-2.2291000000E+00,-4.458333E-04
-2.2286000000E+00,-7.187500E-04
-2.2281000000E+00,-5.041667E-04
-2.2276000000E+00,-4.291667E-04
-2.2271000000E+00,-6.250000E-04
-2.2266000000E+00,-9.000000E-04
-2.2261000000E+00,-8.541667E-04
-2.2256000000E+00,-1.029167E-03
-2.2251000000E+00,-7.312500E-04
-2.2246000000E+00,-4.833333E-04
-2.2241000000E+00,-7.166667E-04
-2.2236000000E+00,-9.520833E-04
-2.2231000000E+00,-1.072917E-03
-2.2226000000E+00,-1.050000E-03
-2.2221000000E+00,-6.333333E-04
-2.2216000000E+00,-7.187500E-04
-2.2211000000E+00,-1.095833E-03
-2.2206000000E+00,-1.197917E-03
-2.2201000000E+00,-9.958333E-04
-2.2196000000E+00,-9.500000E-04
-2.2191000000E+00,-9.020834E-04
-2.2186000000E+00,-1.054167E-03
-2.2181000000E+00,-1.314583E-03
-2.2176000000E+00,-1.170833E-03
-2.2171000000E+00,-8.604167E-04
-2.2166000000E+00,-1.064583E-03
-2.2161000000E+00,-1.114583E-03
-2.2156000000E+00,-8.312500E-04
-2.2151000000E+00,-1.275000E-03
-2.2146000000E+00,-1.450000E-03
-2.2141000000E+00,-1.152083E-03
-2.2136000000E+00,-1.066667E-03
-2.2131000000E+00,-1.535417E-03
-2.2126000000E+00,-1.312500E-03
-2.2121000000E+00,-1.358333E-03
-2.2116000000E+00,-1.275000E-03
-2.2111000000E+00,-9.541667E-04
-2.2106000000E+00,-9.937501E-04
-2.2101000000E+00,-1.035417E-03
-2.2096000000E+00,-8.104167E-04
-2.2091000000E+00,-1.283333E-03
-2.2086000000E+00,-1.177083E-03
-2.2081000000E+00,-1.206250E-03
-2.2076000000E+00,-1.004167E-03
-2.2071000000E+00,-9.750000E-04
-2.2066000000E+00,-1.064583E-03
-2.2061000000E+00,-1.091667E-03
-2.2056000000E+00,-8.645834E-04
-2.2051000000E+00,-6.666667E-04
-2.2046000000E+00,-4.208333E-04
-2.2041000000E+00,-8.354167E-04
-2.2036000000E+00,-8.833333E-04
-2.2031000000E+00,-1.102083E-03
-2.2026000000E+00,-9.708334E-04
-2.2021000000E+00,-9.583334E-04
-2.2016000000E+00,-6.104167E-04
-2.2011000000E+00,-8.416667E-04
